id_show,Generos
78191.0,Drama
46648.0,Drama
74577.0,Comedy
74577.0,Drama
74577.0,Crime
44953.0,Crime
44953.0,Drama
44953.0,Soap
79460.0,Sci-Fi & Fantasy
79460.0,Drama
387.0,Animation
387.0,Comedy
387.0,Family
387.0,Sci-Fi & Fantasy
4087.0,Sci-Fi & Fantasy
4087.0,Mystery
4087.0,Crime
67335.0,Action & Adventure
67335.0,Crime
67335.0,Drama
67335.0,Mystery
57243.0,Action & Adventure
57243.0,Drama
57243.0,Sci-Fi & Fantasy
60866.0,Drama
60866.0,Crime
60866.0,Sci-Fi & Fantasy
1409.0,Crime
1409.0,Drama
67915.0,Drama
67915.0,Sci-Fi & Fantasy
67915.0,Comedy
40075.0,Animation
40075.0,Comedy
40075.0,Mystery
40075.0,Sci-Fi & Fantasy
40075.0,Kids
63351.0,Crime
63351.0,Drama
75450.0,Action & Adventure
75450.0,Sci-Fi & Fantasy
75450.0,Drama
15260.0,Animation
15260.0,Comedy
15260.0,Sci-Fi & Fantasy
69478.0,Drama
69478.0,Sci-Fi & Fantasy
31917.0,Drama
31917.0,Mystery
1425.0,Drama
56570.0,Drama
56570.0,Sci-Fi & Fantasy
92749.0,Action & Adventure
92749.0,Sci-Fi & Fantasy
92749.0,Mystery
1421.0,Comedy
110492.0,Action & Adventure
110492.0,Sci-Fi & Fantasy
110492.0,Drama
62455.0,Drama
62710.0,Crime
62710.0,Drama
62710.0,Action & Adventure
70881.0,Action & Adventure
70881.0,Animation
1398.0,Drama
27240.0,Documentary
60622.0,Crime
60622.0,Drama
34307.0,Drama
34307.0,Comedy
102903.0,Drama
113988.0,Crime
113988.0,Drama
115036.0,Action & Adventure
115036.0,Sci-Fi & Fantasy
1424.0,Comedy
1424.0,Drama
84773.0,Action & Adventure
84773.0,Sci-Fi & Fantasy
84773.0,Drama
67178.0,Action & Adventure
67178.0,Crime
67178.0,Drama
46296.0,Drama
58841.0,Crime
58841.0,Drama
62127.0,Action & Adventure
62127.0,Drama
