id_show,Creador
63639.0,Mark Fergus
63639.0,Hawk Ostby
1892.0,Andy Borowitz
1892.0,Susan Borowitz
95057.0,Greg Berlanti
95057.0,Todd Helbing
4614.0,Donald P. Bellisario
4614.0,Don McGill
91239.0,Chris Van Dusen
1639.0,Tim Kring
44006.0,Michael Brandt
44006.0,Derek Haas
1407.0,Gideon Raff
1407.0,Howard Gordon
1407.0,Alex Gansa
154521.0,sin informacion
69740.0,Mark Williams
69740.0,Bill Dubuque
45871.0,Iván Escobar
72844.0,Mike Flanagan
39272.0,Edward Kitsis
39272.0,Adam Horowitz
52814.0,Kyle Killen
52814.0,Steven Kane
11250.0,Julio Jiménez
1438.0,David Simon
90239.0,Marisa Quiroga
105.0,Darren Star
1433.0,Seth MacFarlane
1433.0,Mike Barker
1433.0,Matt Weitzman
96815.0,sin informacion
1395.0,Josh Schwartz
1395.0,Stephanie Savage
35610.0,Rumiko Takahashi
89641.0,Yu Bo-ra
33880.0,Michael Dante DiMartino
33880.0,Bryan Konietzko
1437.0,Joss Whedon
96677.0,George Kay
96677.0,Marie Roussin
96677.0,Florent Meyer
96677.0,François Uzan
96677.0,Tigran Rosine
92783.0,Jessica Gao
71914.0,Rafe Judkins
65494.0,Peter Morgan
31132.0,J.G. Quintel
12697.0,sin informacion
1920.0,David Lynch
1920.0,Mark Frost
31586.0,sin informacion
73586.0,John Linson
73586.0,Taylor Sheridan
4194.0,George Lucas
31911.0,sin informacion
93741.0,Zack Stentz
2038.0,Dan Schneider
90802.0,David S. Goyer
90802.0,Neil Gaiman
90802.0,Allan Heinberg
63401.0,Daniel Chong
47.0,Roberto Gómez Bolaños
71915.0,Neil Gaiman
76121.0,sin informacion
77606.0,Brandon Sawyer
12926.0,Ximena Suárez
1400.0,Jerry Seinfeld
1400.0,Larry David
90260.0,Jonathan Entwistle
90260.0,Christy Hall
110316.0,Yoshiki Watanabe
110316.0,Yasuko Kuramitsu
68421.0,Laeta Kalogridis
61550.0,Christopher Markus
61550.0,Stephen McFeely
10545.0,Alan Ball
45950.0,Ishibumi Ichiei
1419.0,Andrew W. Marlowe
47640.0,Guillermo del Toro
47640.0,Carlton Cuse
693.0,Marc Cherry
62046.0,Ryan Murphy
62046.0,Ian Brennan
62046.0,Dante Di Loreto
62046.0,Brad Falchuk
30984.0,sin informacion
16420.0,Yoon Ji-ryun
16420.0,Jeon Ki-sang
45782.0,Reki Kawahara
45782.0,Tomohiko Ito
62126.0,Cheo Hodari Coker
31356.0,Scott Fellows
100883.0,Mindy Kaling
100883.0,Lang Fisher
4556.0,Bill Lawrence
80743.0,Lauren Gussis
97180.0,Moisés Zamora
67198.0,Alex Kurtzman
67198.0,Bryan Fuller
1606.0,John Gray
60572.0,sin informacion
42035.0,Álex Pina
42035.0,Iván Escobar
85949.0,Akiva Goldsman
85949.0,Alex Kurtzman
85949.0,Michael Chabon
85949.0,Kirsten Beyer
32798.0,Alex Kurtzman
32798.0,Roberto Orci
32798.0,Peter M. Lenkov
31251.0,Dan Schneider
95.0,Joss Whedon
64432.0,Sera Gamble
114868.0,sin informacion
4686.0,Joe Kelly
4686.0,Duncan Rouleau
4686.0,Steven T. Seagle
4686.0,Joe Casey
63333.0,Stephen Butchard
1411.0,Jonathan Nolan
97186.0,Isaac Aptaker
97186.0,Elizabeth Berger
46298.0,Yoshihiro Togashi
71411.0,Ernesto Contreras
71411.0,Carlos Contreras
71411.0,José Manuel Cravioto
71411.0,Daniel Posada
71411.0,Silvana Aguirre Zegarra
1415.0,Robert Doherty
1620.0,Anthony Zuiker
1620.0,Ann Donahue
1620.0,Carol Mendelsohn
120089.0,sin informacion
71740.0,Gustavo Loza
18347.0,Dan Harmon
46786.0,Carlton Cuse
46786.0,Anthony Cipriano
46786.0,Kerry Ehrin
46639.0,Michael Green
46639.0,Bryan Fuller
112888.0,Yaongyi
79744.0,Alexi Hawley
68507.0,sin informacion
61056.0,Peter Nowalk
89247.0,Caroline Dries
74428.0,sin informacion
62264.0,Sam Raimi
890.0,sin informacion
72305.0,sin informacion
61664.0,Lilly Wachowski
61664.0,Lana Wachowski
61664.0,J. Michael Straczynski
75758.0,Irwin Allen
117581.0,Sarah Lampert
2098.0,Bruce Timm
2098.0,Eric Radomski
86430.0,Peter Moffat
80240.0,Andrés Salgado
30991.0,sin informacion
79699.0,sin informacion
92685.0,Dana Terrace
60573.0,Mike Judge
60573.0,John Altschuler
60573.0,Dave Krinsky
92830.0,sin informacion
39340.0,Michael Patrick King
39340.0,Whitney Cummings
58474.0,Ann Druyan
58474.0,Steven Soter
60743.0,David S. Goyer
60743.0,Daniel Cerone
4629.0,Brad Wright
4629.0,Jonathan Glassner
72637.0,Jorge Edelstein
92396.0,sin informacion
71789.0,Benjamin Cavell
76773.0,Stacy McKee
153312.0,Taylor Sheridan
69629.0,Matt Nix
100834.0,Javier Ambrossi
100834.0,Javier Calvo
85723.0,Aaron Guzikowski
1972.0,Ronald D. Moore
1972.0,Glen A. Larson
2085.0,John R. Dilworth
100049.0,sin informacion
5371.0,Dan Schneider
1973.0,Robert Cochran
1973.0,Joel Surnow
90461.0,Roberts Gannaway
8358.0,Sam Baum
66573.0,Michael Schur
79696.0,Jeff Rake
67136.0,Dan Fogelman
97175.0,Brian Young
87784.0,Mark Bomback
66292.0,David E. Kelley
64464.0,sin informacion
94667.0,sin informacion
655.0,Gene Roddenberry
84661.0,Richard Price
97546.0,Jason Sudeikis
