id_show,Paises_Produccion
100834.0,Spain
85723.0,South Africa
85723.0,United Kingdom
85723.0,United States of America
1972.0,sin informacion
2085.0,sin informacion
100049.0,Japan
5371.0,United States of America
1973.0,United States of America
90461.0,United States of America
8358.0,United States of America
66573.0,United States of America
79696.0,United States of America
67136.0,United States of America
97175.0,Italy
97175.0,United Kingdom
97175.0,United States of America
87784.0,United States of America
66292.0,United States of America
64464.0,United States of America
94667.0,Morocco
655.0,United States of America
84661.0,United States of America
97546.0,United States of America
89456.0,France
89456.0,United States of America
52.0,United States of America
8592.0,United States of America
37606.0,United Kingdom
37606.0,United States of America
62285.0,United States of America
86031.0,Japan
61923.0,United States of America
114410.0,Japan
45790.0,Japan
73375.0,United States of America
67195.0,United States of America
103768.0,United States of America
1420.0,United States of America
61617.0,United States of America
71790.0,United States of America
79501.0,United States of America
21510.0,United States of America
85720.0,United States of America
126280.0,United States of America
128839.0,United States of America
79788.0,United States of America
57706.0,Japan
58450.0,sin informacion
115857.0,Mexico
115857.0,United States of America
4589.0,United States of America
47665.0,South Africa
47665.0,United States of America
96462.0,South Korea
2490.0,United Kingdom
80623.0,Japan
83095.0,Japan
83095.0,South Korea
4616.0,United States of America
80968.0,United States of America
54671.0,United States of America
54671.0,United Kingdom
45815.0,Brazil
82596.0,United States of America
74016.0,United States of America
4327.0,United Kingdom
65844.0,Japan
79525.0,United States of America
60863.0,Japan
42444.0,Japan
120168.0,Mexico
54650.0,United States of America
2384.0,sin informacion
67070.0,United Kingdom
253.0,United States of America
4336.0,sin informacion
42671.0,Japan
56296.0,Canada
76719.0,Denmark
107113.0,United States of America
86423.0,United States of America
72750.0,United States of America
115004.0,United States of America
87689.0,Spain
87689.0,United States of America
62017.0,United States of America
1891.0,United Kingdom
1891.0,United States of America
1891.0,Italy
65708.0,United Kingdom
71024.0,United States of America
900.0,United Kingdom
79680.0,South Korea
79680.0,United States of America
31268.0,Colombia
13027.0,sin informacion
10283.0,United States of America
604.0,United States of America
96648.0,South Korea
82739.0,Japan
17610.0,United States of America
34967.0,United States of America
34967.0,Canada
5451.0,sin informacion
1431.0,United States of America
61175.0,United States of America
90027.0,United States of America
18011.0,Mexico
62823.0,United States of America
61459.0,Japan
124834.0,United Kingdom
94305.0,United States of America
80986.0,United States of America
90937.0,Japan
61852.0,United States of America
63407.0,Mexico
105009.0,Japan
41727.0,sin informacion
1104.0,United States of America
31072.0,Mexico
83100.0,Japan
69061.0,United States of America
70828.0,Colombia
7842.0,United States of America
4574.0,United States of America
66203.0,Argentina
73481.0,sin informacion
64230.0,United States of America
90669.0,Germany
62650.0,United States of America
2352.0,United States of America
105248.0,Japan
105248.0,Poland
102966.0,United States of America
86248.0,United States of America
4658.0,United States of America
62914.0,Spain
81354.0,United States of America
6040.0,sin informacion
33217.0,United States of America
93740.0,United States of America
71738.0,United States of America
67075.0,Japan
1778.0,United States of America
68267.0,United States of America
83097.0,Japan
5178.0,South Korea
1215.0,United States of America
605.0,United States of America
60948.0,sin informacion
2309.0,United States of America
71578.0,United States of America
66084.0,Mexico
89393.0,United States of America
109958.0,United States of America
79649.0,United States of America
1044.0,Japan
1044.0,United Kingdom
1044.0,United States of America
74204.0,United States of America
125910.0,Sweden
62110.0,Japan
4313.0,United States of America
74440.0,United States of America
34391.0,United States of America
98986.0,Japan
63109.0,Brazil
63109.0,Chile
63109.0,United States of America
2710.0,United States of America
131927.0,United States of America
92782.0,United States of America
65249.0,Japan
79240.0,United States of America
888.0,United States of America
73021.0,United States of America
50825.0,United Kingdom
50825.0,United States of America
92967.0,Turkey
12313.0,Canada
39852.0,United States of America
91557.0,Denmark
91557.0,Norway
81146.0,Colombia
1600.0,United States of America
1621.0,sin informacion
89905.0,Ireland
18123.0,United States of America
1426.0,United Kingdom
63210.0,Canada
63210.0,United States of America
63210.0,Germany
2290.0,sin informacion
93812.0,Italy
93812.0,United Kingdom
1695.0,United States of America
43899.0,United States of America
61223.0,Japan
3763.0,United States of America
