id_show,Canales
154521.0,Hulu
69740.0,Netflix
45871.0,FOX España
72844.0,Netflix
39272.0,ABC
52814.0,Paramount+
11250.0,Telemundo
1438.0,HBO
90239.0,Pantaya
105.0,HBO
1433.0,FOX
1433.0, TBS
96815.0,Netflix
1395.0,The CW
35610.0,ANIMAX
35610.0, Nippon TV
35610.0, YTV
89641.0,Netflix
33880.0,Nickelodeon
1437.0,FOX
96677.0,Netflix
92783.0,Disney+
71914.0,Prime Video
65494.0,Netflix
31132.0,Cartoon Network
12697.0,Fuji TV
1920.0,ABC
1920.0, Showtime
31586.0,Telemundo
73586.0,Paramount Network
4194.0,Cartoon Network
4194.0, Netflix
4194.0, Disney+
31911.0,MBS
31911.0, TBS
31911.0, CBC
31911.0, SBS TV
93741.0,Netflix
2038.0,Nickelodeon
90802.0,Netflix
63401.0,Cartoon Network
47.0,Las Estrellas
71915.0,Prime Video
76121.0,Tokyo MX
77606.0,Netflix
12926.0,Univision
12926.0, Las Estrellas
1400.0,NBC
90260.0,Netflix
110316.0,Netflix
68421.0,Netflix
61550.0,ABC
10545.0,HBO
45950.0,AT-X
1419.0,ABC
47640.0,FX
693.0,ABC
62046.0,FOX
30984.0,TV Tokyo
30984.0, BS TV Tokyo
16420.0,KBS2
16420.0, VIU
45782.0,Gunma TV
45782.0, Tokyo MX
45782.0, tvk
45782.0, BS11
45782.0, Tochigi TV
62126.0,Netflix
31356.0,Nickelodeon
100883.0,Netflix
4556.0,NBC
4556.0, ABC
80743.0,Netflix
97180.0,Netflix
67198.0,CBS All Access
67198.0, Paramount+
1606.0,CBS
60572.0,TV Tokyo
60572.0, TV Aichi
60572.0, TVQ
60572.0, TV Osaka
60572.0, TVh
60572.0, TSC
42035.0,Antena 3
85949.0,CBS All Access
85949.0, Paramount+
32798.0,CBS
31251.0,Nickelodeon
95.0,The WB
95.0, UPN
64432.0,Syfy
114868.0,Netflix
4686.0,Cartoon Network
63333.0,Netflix
63333.0, BBC Two
1411.0,CBS
97186.0,Hulu
97186.0, Disney+
46298.0,Nippon TV
71411.0,Univision
1415.0,CBS
1620.0,CBS
120089.0,TV Tokyo
120089.0, TV Aichi
120089.0, TVQ
120089.0, TV Osaka
120089.0, TVh
120089.0, TSC
71740.0,Blim
18347.0,NBC
18347.0, Yahoo! Screen
46786.0,A&E
46639.0,Starz
112888.0,tvN
79744.0,ABC
68507.0,BBC One
61056.0,ABC
89247.0,The CW
74428.0,Azteca Uno
62264.0,Starz
890.0,TV Tokyo
72305.0,MBS
72305.0, Tokyo MX
61664.0,Netflix
75758.0,Netflix
117581.0,Netflix
2098.0,FOX
2098.0, Fox Kids
86430.0,Showtime
80240.0,Caracol TV
30991.0,TV Tokyo
30991.0, WOWOW Prime
79699.0,RCN
79699.0, Telemundo
92685.0,Disney Channel
60573.0,HBO
92830.0,Disney+
39340.0,CBS
58474.0,FOX
58474.0, National Geographic
60743.0,NBC
4629.0,Showtime
4629.0, Syfy
72637.0,Disney XD
72637.0, Disney Channel
92396.0,RCN
71789.0,CBS
71789.0, Paramount+
76773.0,ABC
153312.0,Paramount+
69629.0,FOX
100834.0,Atresplayer Premium
85723.0,HBO Max
1972.0,Syfy
2085.0,Cartoon Network
100049.0,AT-X
100049.0, Tokyo MX
5371.0,Nickelodeon
1973.0,FOX
90461.0,Disney+
8358.0,FOX
66573.0,NBC
79696.0,NBC
79696.0, Netflix
67136.0,NBC
97175.0,Netflix
87784.0,Apple TV+
66292.0,HBO
64464.0,Hulu
94667.0,Prime Video
655.0,Syndication
84661.0,HBO
97546.0,Apple TV+
89456.0,Adult Swim
52.0,FOX
8592.0,NBC
37606.0,Cartoon Network
62285.0,Netflix
86031.0,Tokyo MX
86031.0, KBS Kyoto
61923.0,Disney XD
61923.0, Disney Channel
114410.0,TV Tokyo
114410.0, TV Aichi
114410.0, TVQ
114410.0, TV Osaka
114410.0, TVh
114410.0, TSC
45790.0,Tokyo MX
45790.0, BS11
45790.0, ABEMA
73375.0,Prime Video
67195.0,FX
103768.0,Netflix
1420.0,FOX
61617.0,Cartoon Network
71790.0,CBS
79501.0,DC Universe
79501.0, HBO Max
79501.0, Max
21510.0,USA Network
85720.0,Netflix
126280.0,Netflix
128839.0,NBC
79788.0,HBO
57706.0,Fuji TV
58450.0,Las Estrellas
115857.0,Netflix
4589.0,FOX
4589.0, Netflix
47665.0,Starz
96462.0,tvN
2490.0,Channel 4
80623.0,Netflix
83095.0,AT-X
4616.0,Syndication
80968.0,Netflix
54671.0,Showtime
45815.0,TV Globo
82596.0,Netflix
74016.0,FOX
4327.0,ITV1
65844.0,Tokyo MX
79525.0,ESPN
60863.0,MBS
60863.0, TBS
60863.0, CBC
60863.0, BSN
60863.0, tys
