id_show,Idiomas_hablados
96648.0,한국어/조선말
82739.0,日本語
17610.0,English
34967.0,English
5451.0,English
5451.0,Español
1431.0,English
61175.0,English
90027.0,English
18011.0,Español
62823.0,English
61459.0,日本語
124834.0,English
94305.0,English
80986.0,English
90937.0,日本語
61852.0,English
63407.0,Español
105009.0,日本語
41727.0,English
1104.0,English
31072.0,Español
83100.0,日本語
69061.0,English
70828.0,Español
7842.0,English
4574.0,English
66203.0,Español
73481.0,Español
64230.0,English
90669.0,Deutsch
90669.0,广州话 / 廣州話
90669.0,Dansk
90669.0,Français
90669.0,English
90669.0,Español
90669.0,svenska
90669.0,Polski
90669.0,Norsk
90669.0,Português
62650.0,English
2352.0,English
105248.0,日本語
102966.0,English
102966.0,Español
86248.0,English
4658.0,English
62914.0,Català
81354.0,English
6040.0,English
33217.0,English
93740.0,English
71738.0,English
67075.0,日本語
1778.0,English
68267.0,English
83097.0,English
83097.0,日本語
5178.0,한국어/조선말
1215.0,English
605.0,English
60948.0,English
2309.0,English
71578.0,English
66084.0,Español
89393.0,English
109958.0,English
79649.0,English
1044.0,English
74204.0,English
125910.0,English
125910.0,Español
125910.0,svenska
125910.0,Italiano
62110.0,日本語
4313.0,English
74440.0,English
34391.0,English
98986.0,日本語
63109.0,עִבְרִית
63109.0,Português
2710.0,English
131927.0,English
92782.0,English
65249.0,日本語
79240.0,English
888.0,English
73021.0,English
50825.0,English
92967.0,Türkçe
12313.0,English
39852.0,English
91557.0,Norsk
81146.0,Español
1600.0,English
1621.0,English
89905.0,English
18123.0,English
1426.0,English
63210.0,English
2290.0,English
93812.0,English
1695.0,English
43899.0,English
61223.0,日本語
3763.0,English
80350.0,English
4239.0,English
897.0,English
1404.0,English
4500.0,English
252.0,English
42589.0,日本語
64513.0,English
66276.0,English
66276.0,اردو
61663.0,日本語
2317.0,English
46261.0,日本語
1516.0,English
1988.0,English
80169.0,Español
82747.0,English
42705.0,日本語
61859.0,English
70593.0,한국어/조선말
18350.0,English
18350.0,Español
83125.0,English
54344.0,English
33907.0,English
3570.0,日本語
110290.0,English
60802.0,English
4630.0,English
14141.0,English
97513.0,Español
4586.0,English
14814.0,English
64122.0,English
83867.0,English
67133.0,English
89901.0,English
98387.0,Español
76331.0,English
902.0,日本語
2426.0,English
95396.0,English
67026.0,English
67466.0,English
72002.0,English
1274.0,English
63767.0,한국어/조선말
7225.0,English
1781.0,English
607.0,English
96316.0,日本語
66330.0,한국어/조선말
105971.0,English
32726.0,English
99071.0,日本語
537.0,English
127235.0,English
